"cast_id","name"
6688,"Mike Myers"
76,"Natalie Portman"
4011,"Dustin Hoffman"
861,"Morgan Freeman"
59598,"Robert Pattinson"
36746,"Daniel Radcliffe"
1792,"Scarlett Johansson"
105389,"John Boyega"
1570,"Clint Eastwood"
2380,"Denzel Washington"
22848,"Ryan Reynolds"
142758,"Daisy Ridley"
5853,"Matt Damon"
2132,"Mark Wahlberg"
3596,"Carrie Fisher"
32143,"Kristen Stewart"
2959,"Kevin Costner"
84042,"Chadwick Boseman"
1419,"Eddie Murphy"
1,"Tim Allen"
757,"Paul Rudd"
862,"Gwyneth Paltrow"
49163,"Steve Carell"
2495,"Keanu Reeves"
40784,"Benedict Wong"
1735,"Liam Neeson"
2414,"Samuel L. Jackson"
120321,"Letitia Wright"
13,"Robin Williams"
41244,"Chris Evans"
911,"Christian Bale"
1057,"Sandra Bullock"
1553,"Adam Sandler"
907,"Mel Gibson"
69,"Robert De Niro"
124718,"Karen Gillan"
1554,"Ben Stiller"
97015,"Adam Driver"
83257,"Josh Gad"
0,"Tom Hanks"
3595,"Mark Hamill"
131,"Harrison Ford"
112313,"Pom Klementieff"
4374,"Jeremy Renner"
32368,"Zoe Saldana"
387,"Bruce Willis"
3071,"Matthew McConaughey"
83537,"Danai Gurira"
1118,"George Clooney"
221,"Michael Douglas"
406,"Jim Carrey"
39087,"Bradley Cooper"
435,"John Travolta"
67113,"Channing Tatum"
74966,"Chris Pratt"
50188,"Idris Elba"
2129,"Leonardo DiCaprio"
18024,"Paul Bettany"
3455,"Tom Cruise"
64020,"Sebastian Stan"
20866,"Vin Diesel"
3262,"Bill Murray"
65124,"Tom Hiddleston"
113266,"Dave Bautista"
125439,"Lupita Nyong'o"
48760,"Shia LaBeouf"
108968,"Elizabeth Olsen"
776,"Ian McKellen"
1197,"Josh Brolin"
1527,"Owen Wilson"
484,"Nicolas Cage"
89392,"Chris Hemsworth"
4324,"Ewan McGregor"
1410,"Julia Roberts"
21563,"Mark Ruffalo"
2101,"Will Smith"
705,"Jack Black"
40632,"Seth Rogen"
603,"Brad Pitt"
85816,"Jennifer Lawrence"
30572,"Dwayne Johnson"
263,"Anthony Hopkins"
52125,"Kevin Hart"
1395,"Johnny Depp"
27210,"Tom Holland"
56,"Steve Martin"
16772,"Will Ferrell"
4930,"Cameron Diaz"
464,"Sylvester Stallone"
3478,"Arnold Schwarzenegger"
23655,"Orlando Bloom"
65646,"Benedict Cumberbatch"
2406,"Don Cheadle"
5168,"Reese Witherspoon"
40731,"Rupert Grint"
1569,"Meryl Streep"
40732,"Emma Watson"
2636,"Ben Affleck"
33787,"Hugh Jackman"
