"crew_id","name"
15,"Randy Newman"
24,"Don Davis"
99,"James Horner"
123,"Alan Silvestri"
131,"Elliot Goldenthal"
200,"John Williams"
258,"John Debney"
309,"Marc Shaiman"
361,"Patrick Doyle"
369,"Robert Rodriguez"
470,"Mark Mancina"
524,"Christopher Young"
1012,"David Kitay"
1021,"Danny Elfman"
1036,"George S. Clinton"
1065,"Thomas Newman"
1079,"Howard Shore"
1163,"Alan Menken"
1205,"John Ottman"
1292,"Mark Isham"
1317,"Randy Edelman"
1344,"James Newton Howard"
1351,"Michael Kamen"
1442,"Graeme Revell"
1841,"George Fenton"
1859,"J. Peter Robinson"
1891,"Hans Zimmer"
1955,"Mark Mothersbaugh"
2248,"Elmer Bernstein"
2477,"Carter Burwell"
2779,"Basil Poledouris"
2818,"Brad Fiedel"
2989,"Rachel Portman"
3127,"Maurice Jarre"
3382,"David Newman"
3453,"Ennio Morricone"
3957,"Bruce Broughton"
4333,"David Arnold"
6037,"Bill Conti"
6552,"Terence Blanchard"
10216,"Trevor Rabin"
10769,"John Morris"
10897,"Harold Faltermeyer"
11362,"Gabriel Yared"
13111,"Rolfe Kent"
13202,"Marco Beltrami"
14278,"John Powell"
14893,"Mychael Danna"
15849,"Teddy Castellucci"
15884,"Harald Kloser"
16681,"Dario Marianelli"
16690,"David Holmes"
16801,"Clint Mansell"
18098,"Theodore Shapiro"
19071,"Christophe Beck"
22626,"Craig Armstrong"
22986,"Jon Brion"
24861,"Jeff Danna"
26478,"Klaus Badelt"
26485,"Marc Streitenfeld"
28923,"Alexandre Desplat"
29569,"Tyler Bates"
29720,"Heitor Pereira"
33794,"Joseph Bishara"
34424,"Aaron Zigman"
35012,"Junkie XL"
35073,"Marcelo Zarvos"
35400,"Brian Tyler"
35833,"John Paesano"
40086,"Rupert Gregson-Williams"
43003,"Steve Jablonsky"
45483,"Geoff Zanelli"
47761,"Christopher Lennertz"
49319,"Ramin Djawadi"
50221,"Charlie Clouser"
50279,"Michael Giacchino"
56325,"Joby Talbot"
56645,"Benjamin Wallfisch"
56971,"Andrew Lockington"
57806,"Lyle Workman"
67070,"David Buckley"
70999,"Henry Jackman"
72164,"Rob Simonsen"
74961,"Atticus Ross"
79440,"Lorne Balfe"
79757,"Matthew Margeson"
84719,"Pinar Toprak"
87271,"Daniel Pemberton"
