"crew_id","name"
0,"John Lasseter"
1,"Joss Whedon"
2,"Andrew Stanton"
18,"Pete Docter"
100,"Joe Johnston"
198,"Sydney Pollack"
249,"Stephen Sommers"
260,"Martin Campbell"
318,"Steven Spielberg"
332,"Oliver Stone"
351,"Martin Scorsese"
369,"Robert Rodriguez"
370,"Quentin Tarantino"
495,"Barry Sonnenfeld"
537,"Richard Donner"
1088,"David Fincher"
1166,"Chris Buck"
1198,"Bryan Singer"
1438,"F. Gary Gray"
1805,"Ridley Scott"
1965,"Dennis Dugan"
1974,"Clint Eastwood"
2303,"Mike Nichols"
2313,"Michael Bay"
2382,"Ron Howard"
2486,"Joel Schumacher"
2487,"Tim Burton"
2576,"Andrew Adamson"
2655,"Tony Scott"
2912,"Raja Gosnell"
2915,"Chris Columbus"
3036,"James Cameron"
3105,"Matt Reeves"
3451,"Barry Levinson"
3507,"Peter Farrelly"
3515,"Bobby Farrelly"
3585,"Garry Marshall"
3711,"Peter Jackson"
3739,"Ivan Reitman"
3766,"George Lucas"
4027,"Wolfgang Petersen"
4205,"Sam Raimi"
4331,"Roland Emmerich"
4506,"Robert Zemeckis"
4544,"Peter Segal"
4557,"Steven Soderbergh"
4580,"Jon Turteltaub"
4623,"Tom Shadyac"
4926,"Rob Minkoff"
5369,"Gary Ross"
6755,"Ron Clements"
6756,"John Musker"
7149,"Bill Condon"
7200,"J.J. Abrams"
7833,"James Mangold"
9958,"James Gunn"
10564,"Jon Favreau"
13830,"Jay Roach"
14607,"Brett Ratner"
15450,"Gore Verbinski"
15821,"Antoine Fuqua"
16043,"M. Night Shyamalan"
16224,"Jake Kasdan"
18947,"Eric Darnell"
18948,"Adam Shankman"
19645,"Peter Berg"
19826,"Paul Greengrass"
20557,"Guy Ritchie"
20768,"Christopher Nolan"
21953,"Brad Bird"
22440,"Sam Mendes"
23027,"Carlos Saldanha"
24240,"Mike Mitchell"
26458,"Todd Phillips"
27849,"Peyton Reed"
30157,"Conrad Vernon"
34253,"Shawn Levy"
37047,"Tim Story"
37279,"Anthony Russo"
37280,"Joe Russo"
38785,"Rob Marshall"
39172,"Rian Johnson"
40141,"Justin Lin"
43149,"Byron Howard"
45594,"Zack Snyder"
50218,"James Wan"
55416,"Francis Lawrence"
55619,"Tyler Perry"
56725,"Tom McGrath"
57711,"David Yates"
60026,"Christopher Miller"
73195,"Phil Lord"
76328,"Jennifer Lee"
77609,"Pierre Coffin"
77610,"Chris Renaud"
78932,"Gareth Edwards"
90803,"Rich Moore"
95641,"Ryan Coogler"
115905,"Jon Watts"
