"index","cast_id","name"
239624,33787,"Hugh Jackman"
4296,221,"Michael Douglas"
4279,221,"Michael Douglas"
45257,2959,"Kevin Costner"
411,13,"Robin Williams"
58921,4324,"Ewan McGregor"
264286,41244,"Chris Evans"
28,0,"Tom Hanks"
341174,67113,"Channing Tatum"
39171,2495,"Keanu Reeves"
79443,6688,"Mike Myers"
1831,69,"Robert De Niro"
16696,911,"Christian Bale"
192798,22848,"Ryan Reynolds"
2174,76,"Natalie Portman"
1429,56,"Steve Martin"
37733,2414,"Samuel L. Jackson"
8327,406,"Jim Carrey"
249881,36746,"Daniel Radcliffe"
9636,464,"Sylvester Stallone"
50326,3455,"Tom Cruise"
10009,484,"Nicolas Cage"
2164,76,"Natalie Portman"
388101,85816,"Jennifer Lawrence"
28058,1570,"Clint Eastwood"
27692,1553,"Adam Sandler"
8301,406,"Jim Carrey"
39135,2495,"Keanu Reeves"
20486,1118,"George Clooney"
58922,4324,"Ewan McGregor"
39170,2495,"Keanu Reeves"
239597,33787,"Hugh Jackman"
1421,56,"Steve Martin"
55366,4011,"Dustin Hoffman"
27741,1554,"Ben Stiller"
50760,3478,"Arnold Schwarzenegger"
33756,2101,"Will Smith"
192781,22848,"Ryan Reynolds"
50752,3478,"Arnold Schwarzenegger"
257517,39087,"Bradley Cooper"
8862,435,"John Travolta"
29740,1735,"Liam Neeson"
467,13,"Robin Williams"
7876,387,"Bruce Willis"
50758,3478,"Arnold Schwarzenegger"
383899,84042,"Chadwick Boseman"
321312,59598,"Robert Pattinson"
79441,6688,"Mike Myers"
34061,2132,"Mark Wahlberg"
1399,56,"Steve Martin"
67432,5168,"Reese Witherspoon"
29715,1735,"Liam Neeson"
48256,3262,"Bill Murray"
58903,4324,"Ewan McGregor"
51617,3596,"Carrie Fisher"
9640,464,"Sylvester Stallone"
15,0,"Tom Hanks"
412669,97015,"Adam Driver"
337134,65646,"Benedict Cumberbatch"
37638,2414,"Samuel L. Jackson"
28020,1569,"Meryl Streep"
21837,1197,"Josh Brolin"
21802,1197,"Josh Brolin"
383902,84042,"Chadwick Boseman"
37727,2414,"Samuel L. Jackson"
50327,3455,"Tom Cruise"
10060,484,"Nicolas Cage"
58897,4324,"Ewan McGregor"
290744,49163,"Steve Carell"
16069,862,"Gwyneth Paltrow"
50763,3478,"Arnold Schwarzenegger"
289310,48760,"Shia LaBeouf"
28030,1569,"Meryl Streep"
441485,112313,"Pom Klementieff"
290731,49163,"Steve Carell"
9607,464,"Sylvester Stallone"
2186,76,"Natalie Portman"
294090,50188,"Idris Elba"
2176,76,"Natalie Portman"
29702,1735,"Liam Neeson"
1797,69,"Robert De Niro"
21823,1197,"Josh Brolin"
45281,2959,"Kevin Costner"
233080,32143,"Kristen Stewart"
29753,1735,"Liam Neeson"
290734,49163,"Steve Carell"
48258,3262,"Bill Murray"
332540,64020,"Sebastian Stan"
28043,1569,"Meryl Streep"
